location,year,emissions,group
Myanmar,1988,33172,low
Myanmar,1978,33166,low
Myanmar,1986,32715,low
Democratic Republic of Congo,1913,32475,low
Myanmar,1977,31758,low
Democratic Republic of Congo,1916,31707,low
Democratic Republic of Congo,1917,31644,low
Myanmar,1931,31556,low
Democratic Republic of Congo,1914,31315,low
Myanmar,1975,31183,low
Myanmar,1972,31099,low
Ethiopia,1980,30669,low
Myanmar,1932,30439,low
Myanmar,1974,30236,low
Democratic Republic of Congo,1912,29809,low
Myanmar,1976,29712,low
Myanmar,1973,29639,low
Myanmar,1987,29509,low
Myanmar,1933,29427,low
Democratic Republic of Congo,1911,29314,low
Democratic Republic of Congo,1910,29007,low
Myanmar,1934,28711,low
Myanmar,1935,28159,low
Myanmar,1936,28086,low
Myanmar,1937,27621,low
Myanmar,1938,27434,low
United States,2012,27297,high
Myanmar,1939,27259,low
Democratic Republic of Congo,1908,26190,low
United States,2015,26021,high
Democratic Republic of Congo,1850,25725,low
Democratic Republic of Congo,1902,25406,low
Democratic Republic of Congo,1907,25150,low
Democratic Republic of Congo,1904,24767,low
Democratic Republic of Congo,1905,24534,low
Democratic Republic of Congo,1909,24500,low
Democratic Republic of Congo,1903,23435,low
Myanmar,1950,23233,low
Ethiopia,1981,23063,low
Democratic Republic of Congo,1906,22618,low
Democratic Republic of Congo,1901,22012,low
Democratic Republic of Congo,1851,21827,low
Democratic Republic of Congo,1900,21554,low
Myanmar,1940,20941,low
Democratic Republic of Congo,1892,20102,low
Democratic Republic of Congo,1897,19112,low
Democratic Republic of Congo,1899,18586,low
Democratic Republic of Congo,1893,18527,low
Democratic Republic of Congo,1896,18509,low
Democratic Republic of Congo,1852,18288,low
Democratic Republic of Congo,1895,18072,low
Democratic Republic of Congo,1894,17472,low
Democratic Republic of Congo,1898,17407,low
Democratic Republic of Congo,1891,16888,low
Democratic Republic of Congo,1886,16881,low
Democratic Republic of Congo,1884,16640,low
Democratic Republic of Congo,1879,16395,low
Ethiopia,1982,16233,low
Myanmar,1941,16045,low
Democratic Republic of Congo,1888,16040,low
Democratic Republic of Congo,1889,15905,low
Democratic Republic of Congo,1887,15708,low
Democratic Republic of Congo,1890,15672,low
Democratic Republic of Congo,1882,14992,low
Democratic Republic of Congo,1853,14989,low
Democratic Republic of Congo,1885,14946,low
Democratic Republic of Congo,1883,14720,low
Democratic Republic of Congo,1854,14366,low
Democratic Republic of Congo,1880,14160,low
Democratic Republic of Congo,1867,14047,low
Democratic Republic of Congo,1877,13703,low
Democratic Republic of Congo,1857,13676,low
Democratic Republic of Congo,1855,13550,low
Democratic Republic of Congo,1865,13497,low
Democratic Republic of Congo,1873,13464,low
Democratic Republic of Congo,1881,13300,low
Democratic Republic of Congo,1858,13248,low
Democratic Republic of Congo,1866,12924,low
Democratic Republic of Congo,1875,12639,low
Democratic Republic of Congo,1876,12631,low
Democratic Republic of Congo,1859,12630,low
Democratic Republic of Congo,1856,12537,low
Democratic Republic of Congo,1874,12411,low
Democratic Republic of Congo,1872,12387,low
Democratic Republic of Congo,1871,12325,low
Democratic Republic of Congo,1860,12063,low
Democratic Republic of Congo,1862,11981,low
Myanmar,1942,11958,low
Democratic Republic of Congo,1878,11887,low
Democratic Republic of Congo,1870,11803,low
Democratic Republic of Congo,1864,11655,low
Democratic Republic of Congo,1869,11554,low
Democratic Republic of Congo,1868,11250,low
Democratic Republic of Congo,1861,11216,low
Democratic Republic of Congo,1863,10272,low
Myanmar,1943,8402,low
United States,2010,7877,high
Myanmar,1944,5632,low
United States,2002,5003,high
Ethiopia,1983,4405,low
Myanmar,1945,2770,low
Ethiopia,2001,732,low
Myanmar,1946,213,low
Ethiopia,1984,-320,low
Myanmar,1947,-1995,low
United States,2008,-2658,high
Ethiopia,2000,-3118,low
Myanmar,1948,-3755,low
Ethiopia,1998,-5219,low
Myanmar,1949,-6252,low
Ethiopia,1985,-6385,low
Ethiopia,1996,-7609,low
Ethiopia,1999,-8314,low
Ethiopia,1986,-12733,low
Ethiopia,1997,-13466,low
United States,2013,-17441,high
Ethiopia,1987,-17659,low
United States,2004,-18676,high
Ethiopia,1995,-20043,low
Ethiopia,1988,-22057,low
Ethiopia,1994,-24041,low
Ethiopia,1989,-24621,low
Ethiopia,1991,-24659,low
Ethiopia,1990,-25518,low
Ethiopia,1993,-26658,low
Ethiopia,1992,-34740,low
United States,2006,-37954,high
United States,2009,-49924,high
United States,2007,-53868,high
United States,2011,-79320,high
